school,num_of_EAs
Ascension,0.7541111111111112
Assumption,0.6889484126984127
Bishop P. F. Reding,0.562797619047619
Canadian Martyrs,0.36236111111111113
Christ the King,0.4608333333333334
Corpus Christi,0.7744444444444445
Guardian Angels,1.754345238095238
Holy Rosary (Burlington),0.4938888888888889
Holy Rosary (Milton),0.6483333333333333
Holy Trinity,0.6180555555555556
Jean Vanier,1.0260714285714285
Lumen Christi,0.57
Notre Dame,1.4843055555555558
Our Lady of Fatima,0.8041666666666667
Our Lady of Peace,0.4166666666666667
Our Lady of Victory,0.7284722222222222
"Our Lady of Victory, Structured Teaching",0.9950000000000001
Pope John Paul II,1.0448809523809524
Queen of Heaven,0.3522222222222222
St. Andrew,1.9525992063492061
St. Anne,0.8555555555555555
St. Anthony of Padua,0.796111111111111
St. Benedict,0.8007142857142857
St. Catherine of Alexandria,0.9188888888888889
St. Dominic,0.425
St. Elizabeth Seton,1.241111111111111
St. Francis of Assisi,1.5065555555555554
"St. Francis of Assisi, Structured Teaching Class",0.3466666666666667
St. Gabriel,0.5811111111111111
St. Gregory,1.3318333333333334
St. Ignatius of Loyola,1.7907222222222223
St. James,0.7742460317460317
St. Joan of Arc,1.291111111111111
St. John (Burlington),0.8089880952380952
St. John (Oakville),0.40569444444444436
St. John (Oakville) Structured Teaching Class,0.4972222222222222
St. Joseph (Acton),0.57
St. Joseph (Oakville),0.32055555555555554
St. Luke,0.7940277777777778
St. Marguerite d'Youville,0.37666666666666665
St. Mary,1.0188888888888887
St. Matthew,0.7849999999999999
St. Patrick,0.49809523809523804
St. Paul,0.3833333333333333
St. Peter,2.547420634920635
St. Raphael,0.4502777777777778
"St. Raphael, Structured Teaching 1",1.3554761904761903
St. Thomas Aquinas,1.0026190476190475
St. Timothy,0.47500000000000003
St. Vincent,0.5252380952380952
